Date,finbert_score,lm_score,CP,Returns,Signal_FinBERT,Signal_Dictionary,Strat_FinBERT,Strat_Dictionary,Cum_BuyHold,Cum_FinBERT,Cum_Dictionary,Strat_Combined
2023-03-14,-0.1618731933481553,0.009757236227824461,3919.2899999999995,0.016342380801371525,-1,-1,-0.016342380801371525,-0.016342380801371525,0.996307499811649,1.110104954308976,-0.02097794270990045,0.009890333632927328
2023-03-15,-0.38683637728293735,-0.05061778499278499,3891.93,-0.007005336398235097,-1,1,0.007005336398235097,-0.007005336398235097,0.9893021634134139,1.1171102907072112,-0.02798327910813555,-0.004187453908401046
2023-03-16,-0.12095357264791216,2.834467120181396e-05,3960.28,0.01740955128696453,-1,-1,-0.01740955128696453,-0.01740955128696453,1.0067117147003786,1.0997007394202467,-0.04539283039510008,0.010542045375726304
2023-03-17,-0.17560138132261194,-0.041134469395338956,3916.64,-0.011080586449227313,-1,1,0.011080586449227313,-0.011080586449227313,0.9956311282511513,1.110781325869474,-0.05647341684432739,-0.006608888262564515
2023-03-20,-0.0039408614760950995,-0.04191919191919192,3951.57,0.008878824909597214,-1,-1,-0.008878824909597214,-0.008878824909597214,1.0045099531607484,1.1019025009598769,-0.06535224175392461,0.005352432110249098
2023-03-21,0.18967792987823487,-0.033888888888888885,4002.87,0.01289863554198477,-1,-1,-0.01289863554198477,-0.01289863554198477,1.017408588702733,1.0890038654178922,-0.07825087729590938,0.0077921466982758675
2023-03-22,-0.2474065241606339,0.013890457368718238,3936.97,-0.016600211922495948,1,-1,-0.016600211922495948,0.016600211922495948,1.0008083767802372,1.0724036534953962,-0.06165066537341343,-0.016600211922495948
2023-03-23,-0.07152414694428444,-0.006376262626262626,3948.72,0.0029800838470393862,-1,1,-0.0029800838470393862,0.0029800838470393862,1.0037884606272764,1.069423569648357,-0.05867058152637405,0.0017908888088553302
2023-03-24,0.35143579886509824,-0.004797979797979801,3970.99,0.005623958124210314,-1,-1,-0.005623958124210314,-0.005623958124210314,1.0094124187514868,1.0637996115241466,-0.06429453965058436,0.0033844733599275715
2023-03-27,0.18789956718683243,-0.01891025641025641,3977.53,0.0016455897389303137,1,-1,0.0016455897389303137,-0.0016455897389303137,1.011058008490417,1.0654452012630768,-0.06594012938951467,0.0016455897389303137
2023-03-28,-0.24673978848890823,-0.0303030303030303,3971.27,-0.001575080840930101,1,-1,-0.001575080840930101,0.001575080840930101,1.009482927649487,1.0638701204221468,-0.06436504854858457,-0.001575080840930101
2023-03-29,0.08619117386200849,-0.02069618194185668,4027.8100000000004,0.014136861145886559,-1,-1,-0.014136861145886559,-0.014136861145886559,1.0236197887953735,1.0497332592762603,-0.07850190969447113,0.008545707507194997
2023-03-30,0.07470056083467272,0.014616402116402118,4050.83,0.005698994460609173,1,-1,0.005698994460609173,-0.005698994460609173,1.0293187832559827,1.0554322537368694,-0.0842009041550803,0.005698994460609173
2023-03-31,-0.20244313891117388,0.025099206349206354,4109.31,0.014333332809426856,1,1,0.014333332809426856,0.014333332809426856,1.0436521160654095,1.0697655865462963,-0.06986757134565344,0.014333332809426856
2023-04-03,-0.17085815114634378,0.0072158991801848935,4124.51,0.003692093649516912,-1,1,-0.003692093649516912,0.003692093649516912,1.0473442097149264,1.0660734928967794,-0.06617547769613653,0.002219611846175192
2023-04-04,-0.26432568353155383,-0.04137492941840768,4100.6,-0.005813920385208212,-1,1,0.005813920385208212,-0.005813920385208212,1.0415302893297183,1.0718874132819876,-0.07198939808134475,-0.0034775105373401395
2023-04-05,-0.28790229320526123,-0.014217338217338216,4090.38,-0.002495429192470336,-1,-1,0.002495429192470336,0.002495429192470336,1.0390348601372479,1.074382842474458,-0.06949396888887441,-0.0014952628328755027
2023-04-06,-0.16864381808983653,-0.013809144072301967,4105.02,0.0035727397253701647,-1,-1,-0.0035727397253701647,-0.0035727397253701647,1.042607599862618,1.0708101027490877,-0.07306670861424457,0.0021477226287292964
2023-04-10,-0.329759356379509,-0.004821428571428571,4109.11,0.0009958450470119054,-1,-1,-0.0009958450470119054,-0.0009958450470119054,1.04360344490963,1.0698142577020757,-0.07406255366125647,0.000597824248154628
2023-04-11,-0.13523686528205872,-0.014632034632034633,4108.94,-4.137234502690973e-05,-1,-1,4.137234502690973e-05,4.137234502690973e-05,1.043562072564603,1.0698556300471027,-0.07402118131622956,-2.4822859272364058e-05
2023-04-12,-0.0779785080389543,0.0051948051948051965,4091.95,-0.004143458650798345,-1,-1,0.004143458650798345,0.004143458650798345,1.0394186139138049,1.073999088697901,-0.06987772266543121,-0.0024805722439818303
2023-04-13,-0.11133996528737686,-0.04608626667450197,4146.22,0.013175446748330008,-1,1,-0.013175446748330008,0.013175446748330008,1.052594060662135,1.060823641949571,-0.056702275917101204,0.007960524997768467
2023-04-14,-0.2361845076084137,-0.013216089466089464,4137.64,-0.002071498810492095,-1,-1,0.002071498810492095,0.002071498810492095,1.0505225618516427,1.062895140760063,-0.05463077710660911,-0.001241524994079576
